,date,price,ID,year,month,day,hour,minute
0,10/30/2023 0:00,73.60639,1,2023,10,30,0,0
1,10/30/2023 0:15,77.28328,2,2023,10,30,0,15
2,10/30/2023 0:30,77.23105,3,2023,10,30,0,30
3,10/30/2023 0:45,77.23391,4,2023,10,30,0,45
4,10/30/2023 1:00,77.23694,5,2023,10,30,1,0
5,10/30/2023 1:15,74.50911,6,2023,10,30,1,15
6,10/30/2023 1:30,72.05074,7,2023,10,30,1,30
7,10/30/2023 1:45,71.813113,8,2023,10,30,1,45
8,10/30/2023 2:00,71.413693,9,2023,10,30,2,0
9,10/30/2023 2:15,68.987276,10,2023,10,30,2,15
10,10/30/2023 2:30,71.772333,11,2023,10,30,2,30
11,10/30/2023 2:45,70.69088,12,2023,10,30,2,45
12,10/30/2023 3:00,74.26677,13,2023,10,30,3,0
13,10/30/2023 3:15,77.2388,14,2023,10,30,3,15
14,10/30/2023 3:30,72.71239,15,2023,10,30,3,30
15,10/30/2023 3:45,72.67282,16,2023,10,30,3,45
16,10/30/2023 4:00,75.17765,17,2023,10,30,4,0
17,10/30/2023 4:15,82.35656,18,2023,10,30,4,15
18,10/30/2023 4:30,79.68705,19,2023,10,30,4,30
19,10/30/2023 4:45,81.23872,20,2023,10,30,4,45
20,10/30/2023 5:00,70.406683,21,2023,10,30,5,0
21,10/30/2023 5:15,80.336176,22,2023,10,30,5,15
22,10/30/2023 5:30,95.823643,23,2023,10,30,5,30
23,10/30/2023 5:45,101.35669,24,2023,10,30,5,45
24,10/30/2023 6:00,86.92629,25,2023,10,30,6,0
25,10/30/2023 6:15,81.867716,26,2023,10,30,6,15
26,10/30/2023 6:30,143.051883,27,2023,10,30,6,30
27,10/30/2023 6:45,278.5353,28,2023,10,30,6,45
28,10/30/2023 7:00,307.8043,29,2023,10,30,7,0
29,10/30/2023 7:15,272.03303,30,2023,10,30,7,15
30,10/30/2023 7:30,169.547733,31,2023,10,30,7,30
31,10/30/2023 7:45,172.85879,32,2023,10,30,7,45
32,10/30/2023 8:00,101.485456,33,2023,10,30,8,0
33,10/30/2023 8:15,52.982736,34,2023,10,30,8,15
34,10/30/2023 8:30,45.880063,35,2023,10,30,8,30
35,10/30/2023 8:45,30.035086,36,2023,10,30,8,45
36,10/30/2023 9:00,34.53151,37,2023,10,30,9,0
37,10/30/2023 9:15,29.50999,38,2023,10,30,9,15
38,10/30/2023 9:30,23.640776,39,2023,10,30,9,30
39,10/30/2023 9:45,22.562406,40,2023,10,30,9,45
40,10/30/2023 10:00,26.494853,41,2023,10,30,10,0
41,10/30/2023 10:15,25.783193,42,2023,10,30,10,15
42,10/30/2023 10:30,24.043206,43,2023,10,30,10,30
43,10/30/2023 10:45,23.56449,44,2023,10,30,10,45
44,10/30/2023 11:00,26.418516,45,2023,10,30,11,0
45,10/30/2023 11:15,26.964513,46,2023,10,30,11,15
46,10/30/2023 11:30,25.51338,47,2023,10,30,11,30
47,10/30/2023 11:45,26.668196,48,2023,10,30,11,45
48,10/30/2023 12:00,27.91942,49,2023,10,30,12,0
49,10/30/2023 12:15,27.250623,50,2023,10,30,12,15
50,10/30/2023 12:30,25.900256,51,2023,10,30,12,30
51,10/30/2023 12:45,24.659823,52,2023,10,30,12,45
52,10/30/2023 13:00,23.099846,53,2023,10,30,13,0
53,10/30/2023 13:15,21.736226,54,2023,10,30,13,15
54,10/30/2023 13:30,17.289796,55,2023,10,30,13,30
55,10/30/2023 13:45,15.468716,56,2023,10,30,13,45
56,10/30/2023 14:00,12.690916,57,2023,10,30,14,0
57,10/30/2023 14:15,6.78677,58,2023,10,30,14,15
58,10/30/2023 14:30,7.271113,59,2023,10,30,14,30
59,10/30/2023 14:45,2.56293,60,2023,10,30,14,45
60,10/30/2023 15:00,3.014196,61,2023,10,30,15,0
61,10/30/2023 15:15,1.95924,62,2023,10,30,15,15
62,10/30/2023 15:30,3.95839,63,2023,10,30,15,30
63,10/30/2023 15:45,6.14344,64,2023,10,30,15,45
64,10/30/2023 16:00,6.53288,65,2023,10,30,16,0
65,10/30/2023 16:15,15.845323,66,2023,10,30,16,15
66,10/30/2023 16:30,30.191263,67,2023,10,30,16,30
67,10/30/2023 16:45,57.1709,68,2023,10,30,16,45
68,10/30/2023 17:00,55.408326,69,2023,10,30,17,0
69,10/30/2023 17:15,73.13963,70,2023,10,30,17,15
70,10/30/2023 17:30,92.135336,71,2023,10,30,17,30
71,10/30/2023 17:45,106.797576,72,2023,10,30,17,45
72,10/30/2023 18:00,80.981736,73,2023,10,30,18,0
73,10/30/2023 18:15,88.77909,74,2023,10,30,18,15
74,10/30/2023 18:30,87.191766,75,2023,10,30,18,30
75,10/30/2023 18:45,81.801683,76,2023,10,30,18,45
76,10/30/2023 19:00,89.303576,77,2023,10,30,19,0
77,10/30/2023 19:15,85.970913,78,2023,10,30,19,15
78,10/30/2023 19:30,83.275876,79,2023,10,30,19,30
79,10/30/2023 19:45,81.629463,80,2023,10,30,19,45
80,10/30/2023 20:00,85.702783,81,2023,10,30,20,0
81,10/30/2023 20:15,83.05112,82,2023,10,30,20,15
82,10/30/2023 20:30,83.626356,83,2023,10,30,20,30
83,10/30/2023 20:45,85.817266,84,2023,10,30,20,45
84,10/30/2023 21:00,91.839573,85,2023,10,30,21,0
85,10/30/2023 21:15,92.058713,86,2023,10,30,21,15
86,10/30/2023 21:30,92.02688,87,2023,10,30,21,30
87,10/30/2023 21:45,90.194046,88,2023,10,30,21,45
88,10/30/2023 22:00,91.860243,89,2023,10,30,22,0
89,10/30/2023 22:15,87.07179,90,2023,10,30,22,15
90,10/30/2023 22:30,86.398426,91,2023,10,30,22,30
91,10/30/2023 22:45,79.303566,92,2023,10,30,22,45
92,10/30/2023 23:00,85.43444,93,2023,10,30,23,0
93,10/30/2023 23:15,83.852836,94,2023,10,30,23,15
94,10/30/2023 23:30,81.376123,95,2023,10,30,23,30
95,10/30/2023 23:45,73.03841,96,2023,10,30,23,45
96,10/31/2023 0:00,73.38925,97,2023,10,31,0,0
97,10/31/2023 0:15,74.648823,98,2023,10,31,0,15
98,10/31/2023 0:30,73.32283,99,2023,10,31,0,30
99,10/31/2023 0:45,69.11129,100,2023,10,31,0,45
100,10/31/2023 1:00,75.181513,101,2023,10,31,1,0
101,10/31/2023 1:15,73.95051,102,2023,10,31,1,15
102,10/31/2023 1:30,71.741973,103,2023,10,31,1,30
103,10/31/2023 1:45,66.276046,104,2023,10,31,1,45
104,10/31/2023 2:00,73.35481,105,2023,10,31,2,0
105,10/31/2023 2:15,72.788136,106,2023,10,31,2,15
106,10/31/2023 2:30,72.858283,107,2023,10,31,2,30
107,10/31/2023 2:45,71.074406,108,2023,10,31,2,45
108,10/31/2023 3:00,72.911596,109,2023,10,31,3,0
109,10/31/2023 3:15,72.900793,110,2023,10,31,3,15
110,10/31/2023 3:30,69.789946,111,2023,10,31,3,30
111,10/31/2023 3:45,70.19023,112,2023,10,31,3,45
112,10/31/2023 4:00,72.6186,113,2023,10,31,4,0
113,10/31/2023 4:15,72.718776,114,2023,10,31,4,15
114,10/31/2023 4:30,72.868496,115,2023,10,31,4,30
115,10/31/2023 4:45,75.169416,116,2023,10,31,4,45
116,10/31/2023 5:00,69.62421,117,2023,10,31,5,0
117,10/31/2023 5:15,70.192973,118,2023,10,31,5,15
118,10/31/2023 5:30,78.051676,119,2023,10,31,5,30
119,10/31/2023 5:45,78.56045,120,2023,10,31,5,45
120,10/31/2023 6:00,77.392253,121,2023,10,31,6,0
121,10/31/2023 6:15,78.7357,122,2023,10,31,6,15
122,10/31/2023 6:30,132.344706,123,2023,10,31,6,30
123,10/31/2023 6:45,166.461003,124,2023,10,31,6,45
124,10/31/2023 7:00,174.26416,125,2023,10,31,7,0
125,10/31/2023 7:15,165.29384,126,2023,10,31,7,15
126,10/31/2023 7:30,152.333156,127,2023,10,31,7,30
127,10/31/2023 7:45,75.614763,128,2023,10,31,7,45
128,10/31/2023 8:00,78.706926,129,2023,10,31,8,0
129,10/31/2023 8:15,54.749573,130,2023,10,31,8,15
130,10/31/2023 8:30,32.54209,131,2023,10,31,8,30
131,10/31/2023 8:45,12.020013,132,2023,10,31,8,45
132,10/31/2023 9:00,25.77852,133,2023,10,31,9,0
133,10/31/2023 9:15,25.446756,134,2023,10,31,9,15
134,10/31/2023 9:30,21.649063,135,2023,10,31,9,30
135,10/31/2023 9:45,9.012683,136,2023,10,31,9,45
136,10/31/2023 10:00,26.53029,137,2023,10,31,10,0
137,10/31/2023 10:15,25.633026,138,2023,10,31,10,15
138,10/31/2023 10:30,20.0412,139,2023,10,31,10,30
139,10/31/2023 10:45,21.443406,140,2023,10,31,10,45
140,10/31/2023 11:00,25.44272,141,2023,10,31,11,0
141,10/31/2023 11:15,24.37729,142,2023,10,31,11,15
142,10/31/2023 11:30,19.678993,143,2023,10,31,11,30
143,10/31/2023 11:45,20.706216,144,2023,10,31,11,45
144,10/31/2023 12:00,23.13291,145,2023,10,31,12,0
145,10/31/2023 12:15,23.25806,146,2023,10,31,12,15
146,10/31/2023 12:30,21.42817,147,2023,10,31,12,30
147,10/31/2023 12:45,10.950023,148,2023,10,31,12,45
148,10/31/2023 13:00,5.54675,149,2023,10,31,13,0
149,10/31/2023 13:15,13.66403,150,2023,10,31,13,15
150,10/31/2023 13:30,7.788036,151,2023,10,31,13,30
151,10/31/2023 13:45,-0.276513,152,2023,10,31,13,45
152,10/31/2023 14:00,-2.200203,153,2023,10,31,14,0
153,10/31/2023 14:15,-11.981746,154,2023,10,31,14,15
154,10/31/2023 14:30,-11.408533,155,2023,10,31,14,30
155,10/31/2023 14:45,2.218386,156,2023,10,31,14,45
156,10/31/2023 15:00,-6.269686,157,2023,10,31,15,0
157,10/31/2023 15:15,-14.292456,158,2023,10,31,15,15
158,10/31/2023 15:30,3.50599,159,2023,10,31,15,30
159,10/31/2023 15:45,6.16679,160,2023,10,31,15,45
160,10/31/2023 16:00,25.060506,161,2023,10,31,16,0
161,10/31/2023 16:15,35.974303,162,2023,10,31,16,15
162,10/31/2023 16:30,46.749853,163,2023,10,31,16,30
163,10/31/2023 16:45,84.968163,164,2023,10,31,16,45
164,10/31/2023 17:00,59.544806,165,2023,10,31,17,0
165,10/31/2023 17:15,83.453493,166,2023,10,31,17,15
166,10/31/2023 17:30,88.386746,167,2023,10,31,17,30
167,10/31/2023 17:45,97.380956,168,2023,10,31,17,45
168,10/31/2023 18:00,75.026546,169,2023,10,31,18,0
169,10/31/2023 18:15,70.790596,170,2023,10,31,18,15
170,10/31/2023 18:30,56.516013,171,2023,10,31,18,30
171,10/31/2023 18:45,62.345933,172,2023,10,31,18,45
172,10/31/2023 19:00,68.339346,173,2023,10,31,19,0
173,10/31/2023 19:15,66.29537,174,2023,10,31,19,15
174,10/31/2023 19:30,64.79273,175,2023,10,31,19,30
175,10/31/2023 19:45,66.116983,176,2023,10,31,19,45
176,10/31/2023 20:00,71.039766,177,2023,10,31,20,0
177,10/31/2023 20:15,65.809836,178,2023,10,31,20,15
178,10/31/2023 20:30,68.900006,179,2023,10,31,20,30
179,10/31/2023 20:45,72.566076,180,2023,10,31,20,45
180,10/31/2023 21:00,86.00319,181,2023,10,31,21,0
181,10/31/2023 21:15,84.261006,182,2023,10,31,21,15
182,10/31/2023 21:30,84.376653,183,2023,10,31,21,30
183,10/31/2023 21:45,83.611906,184,2023,10,31,21,45
184,10/31/2023 22:00,91.926483,185,2023,10,31,22,0
185,10/31/2023 22:15,86.784736,186,2023,10,31,22,15
186,10/31/2023 22:30,86.489853,187,2023,10,31,22,30
187,10/31/2023 22:45,83.659463,188,2023,10,31,22,45
188,10/31/2023 23:00,83.55533,189,2023,10,31,23,0
189,10/31/2023 23:15,80.689623,190,2023,10,31,23,15
190,10/31/2023 23:30,72.068,191,2023,10,31,23,30
191,10/31/2023 23:45,65.07072,192,2023,10,31,23,45
