date,price
2/4/2023 12:00:00 AM,52.700963
2/4/2023 12:05:00 AM,55.942830
2/4/2023 12:10:00 AM,54.121063
2/4/2023 12:15:00 AM,50.796460
2/4/2023 12:20:00 AM,54.154323
2/4/2023 12:25:00 AM,56.012640
2/4/2023 12:30:00 AM,59.290213
2/4/2023 12:35:00 AM,58.150960
2/4/2023 12:40:00 AM,59.436870
2/4/2023 12:45:00 AM,60.143073
2/4/2023 12:50:00 AM,60.062873
2/4/2023 12:55:00 AM,60.555523
2/4/2023 1:00:00 AM,61.278656
2/4/2023 1:05:00 AM,61.278656
2/4/2023 1:10:00 AM,61.278656
2/4/2023 1:15:00 AM,61.302560
2/4/2023 1:20:00 AM,61.302560
2/4/2023 1:25:00 AM,61.302560
2/4/2023 1:30:00 AM,61.164423
2/4/2023 1:35:00 AM,61.087183
2/4/2023 1:40:00 AM,60.558670
2/4/2023 1:45:00 AM,58.195820
2/4/2023 1:50:00 AM,57.588026
2/4/2023 1:55:00 AM,57.747610
2/4/2023 2:00:00 AM,58.128953
2/4/2023 2:05:00 AM,60.035390
2/4/2023 2:10:00 AM,60.847340
2/4/2023 2:15:00 AM,60.111310
2/4/2023 2:20:00 AM,60.479323
2/4/2023 2:25:00 AM,59.985760
2/4/2023 2:30:00 AM,58.259480
2/4/2023 2:35:00 AM,59.079286
2/4/2023 2:40:00 AM,57.543986
2/4/2023 2:45:00 AM,57.636306
2/4/2023 2:50:00 AM,57.636203
2/4/2023 2:55:00 AM,57.708473
2/4/2023 3:00:00 AM,55.116980
2/4/2023 3:05:00 AM,55.521026
2/4/2023 3:10:00 AM,56.857193
2/4/2023 3:15:00 AM,56.677520
2/4/2023 3:20:00 AM,57.242533
2/4/2023 3:25:00 AM,57.498123
2/4/2023 3:30:00 AM,57.472136
2/4/2023 3:35:00 AM,58.059840
2/4/2023 3:40:00 AM,58.059840
2/4/2023 3:45:00 AM,58.252390
2/4/2023 3:50:00 AM,58.836876
2/4/2023 3:55:00 AM,59.838873
2/4/2023 4:00:00 AM,58.402726
2/4/2023 4:05:00 AM,58.011276
2/4/2023 4:10:00 AM,59.232593
2/4/2023 4:15:00 AM,61.445780
2/4/2023 4:20:00 AM,61.550370
2/4/2023 4:25:00 AM,61.680813
2/4/2023 4:30:00 AM,61.878916
2/4/2023 4:35:00 AM,61.934453
2/4/2023 4:40:00 AM,62.039380
2/4/2023 4:45:00 AM,66.027420
2/4/2023 4:50:00 AM,66.466923
2/4/2023 4:55:00 AM,66.262943
2/4/2023 5:00:00 AM,52.821060
2/4/2023 5:05:00 AM,50.628740
2/4/2023 5:10:00 AM,50.314450
2/4/2023 5:15:00 AM,52.622380
2/4/2023 5:20:00 AM,52.595410
2/4/2023 5:25:00 AM,55.272223
2/4/2023 5:30:00 AM,57.286396
2/4/2023 5:35:00 AM,59.837773
2/4/2023 5:40:00 AM,60.613420
2/4/2023 5:45:00 AM,61.549150
2/4/2023 5:50:00 AM,61.549150
2/4/2023 5:55:00 AM,61.425480
2/4/2023 6:00:00 AM,57.142550
2/4/2023 6:05:00 AM,56.667406
2/4/2023 6:10:00 AM,56.668566
2/4/2023 6:15:00 AM,57.602883
2/4/2023 6:20:00 AM,60.142000
2/4/2023 6:25:00 AM,61.175623
2/4/2023 6:30:00 AM,61.578686
2/4/2023 6:35:00 AM,61.702720
2/4/2023 6:40:00 AM,61.801193
2/4/2023 6:45:00 AM,61.930413
2/4/2023 6:50:00 AM,64.008036
2/4/2023 6:55:00 AM,65.125523
2/4/2023 7:00:00 AM,60.243293
2/4/2023 7:05:00 AM,60.437546
2/4/2023 7:10:00 AM,60.243293
2/4/2023 7:15:00 AM,52.135996
2/4/2023 7:20:00 AM,50.628173
2/4/2023 7:25:00 AM,47.441790
2/4/2023 7:30:00 AM,44.951570
2/4/2023 7:35:00 AM,41.205603
2/4/2023 7:40:00 AM,37.788663
2/4/2023 7:45:00 AM,33.671040
2/4/2023 7:50:00 AM,29.743406
2/4/2023 7:55:00 AM,30.312403
2/4/2023 8:00:00 AM,42.105963
2/4/2023 8:05:00 AM,49.599476
2/4/2023 8:10:00 AM,44.557933
2/4/2023 8:15:00 AM,36.672293
2/4/2023 8:20:00 AM,35.412556
2/4/2023 8:25:00 AM,32.109206
2/4/2023 8:30:00 AM,25.038880
2/4/2023 8:35:00 AM,23.105380
2/4/2023 8:40:00 AM,22.392186
2/4/2023 8:45:00 AM,20.520573
2/4/2023 8:50:00 AM,19.678983
2/4/2023 8:55:00 AM,15.526856
2/4/2023 9:00:00 AM,15.526856
2/4/2023 9:05:00 AM,23.801406
2/4/2023 9:10:00 AM,25.564463
2/4/2023 9:15:00 AM,23.520463
2/4/2023 9:20:00 AM,22.737376
2/4/2023 9:25:00 AM,22.632996
2/4/2023 9:30:00 AM,20.357546
2/4/2023 9:35:00 AM,20.623813
2/4/2023 9:40:00 AM,19.859043
2/4/2023 9:45:00 AM,20.641843
2/4/2023 9:50:00 AM,20.483740
2/4/2023 9:55:00 AM,19.334193
2/4/2023 10:00:00 AM,18.601236
2/4/2023 10:05:00 AM,18.117993
2/4/2023 10:10:00 AM,15.731036
2/4/2023 10:15:00 AM,14.898426
2/4/2023 10:20:00 AM,17.109550
2/4/2023 10:25:00 AM,15.722936
2/4/2023 10:30:00 AM,13.442556
2/4/2023 10:35:00 AM,12.369483
2/4/2023 10:40:00 AM,11.658110
2/4/2023 10:45:00 AM,11.538813
2/4/2023 10:50:00 AM,6.660963
2/4/2023 10:55:00 AM,9.598706
2/4/2023 11:00:00 AM,12.472043
2/4/2023 11:05:00 AM,13.347230
2/4/2023 11:10:00 AM,13.008123
2/4/2023 11:15:00 AM,13.179883
2/4/2023 11:20:00 AM,13.011406
2/4/2023 11:25:00 AM,12.769493
2/4/2023 11:30:00 AM,13.201133
2/4/2023 11:35:00 AM,12.428390
2/4/2023 11:40:00 AM,8.033803
2/4/2023 11:45:00 AM,3.469906
2/4/2023 11:50:00 AM,3.446383
2/4/2023 11:55:00 AM,3.335683
2/4/2023 12:00:00 PM,6.300613
2/4/2023 12:05:00 PM,6.219726
2/4/2023 12:10:00 PM,6.397353
2/4/2023 12:15:00 PM,3.811840
2/4/2023 12:20:00 PM,3.194976
2/4/2023 12:25:00 PM,4.092390
2/4/2023 12:30:00 PM,6.194846
2/4/2023 12:35:00 PM,6.449950
2/4/2023 12:40:00 PM,3.369456
2/4/2023 12:45:00 PM,1.070196
2/4/2023 12:50:00 PM,1.326953
2/4/2023 12:55:00 PM,2.718973
2/4/2023 1:00:00 PM,1.769836
2/4/2023 1:05:00 PM,5.189236
2/4/2023 1:10:00 PM,6.575750
2/4/2023 1:15:00 PM,6.814016
2/4/2023 1:20:00 PM,9.370460
2/4/2023 1:25:00 PM,9.056653
2/4/2023 1:30:00 PM,9.622263
2/4/2023 1:35:00 PM,7.356443
2/4/2023 1:40:00 PM,5.813343
2/4/2023 1:45:00 PM,10.711593
2/4/2023 1:50:00 PM,10.381586
2/4/2023 1:55:00 PM,7.456510
2/4/2023 2:00:00 PM,8.351543
2/4/2023 2:05:00 PM,9.247866
2/4/2023 2:10:00 PM,9.923090
2/4/2023 2:15:00 PM,12.774836
2/4/2023 2:20:00 PM,14.651053
2/4/2023 2:25:00 PM,16.182086
2/4/2023 2:30:00 PM,17.169570
2/4/2023 2:35:00 PM,22.078183
2/4/2023 2:40:00 PM,22.000136
2/4/2023 2:45:00 PM,23.629966
2/4/2023 2:50:00 PM,23.226026
2/4/2023 2:55:00 PM,22.840140
2/4/2023 3:00:00 PM,15.950246
2/4/2023 3:05:00 PM,16.775323
2/4/2023 3:10:00 PM,18.896786
2/4/2023 3:15:00 PM,14.384290
2/4/2023 3:20:00 PM,17.653900
2/4/2023 3:25:00 PM,22.477996
2/4/2023 3:30:00 PM,24.226446
2/4/2023 3:35:00 PM,25.177463
2/4/2023 3:40:00 PM,29.334463
2/4/2023 3:45:00 PM,35.478140
2/4/2023 3:50:00 PM,44.600946
2/4/2023 3:55:00 PM,43.262636
2/4/2023 4:00:00 PM,31.911540
2/4/2023 4:05:00 PM,29.504336
2/4/2023 4:10:00 PM,29.437413
2/4/2023 4:15:00 PM,31.750930
2/4/2023 4:20:00 PM,41.174630
2/4/2023 4:25:00 PM,47.538696
2/4/2023 4:30:00 PM,47.694076
2/4/2023 4:35:00 PM,53.914310
2/4/2023 4:40:00 PM,64.233463
2/4/2023 4:45:00 PM,68.575123
2/4/2023 4:50:00 PM,74.428660
2/4/2023 4:55:00 PM,81.030656
2/4/2023 5:00:00 PM,63.058906
2/4/2023 5:05:00 PM,62.728743
2/4/2023 5:10:00 PM,61.037780
2/4/2023 5:15:00 PM,58.996836
2/4/2023 5:20:00 PM,56.826336
2/4/2023 5:25:00 PM,58.167956
2/4/2023 5:30:00 PM,60.405330
2/4/2023 5:35:00 PM,60.684636
2/4/2023 5:40:00 PM,61.624530
2/4/2023 5:45:00 PM,60.384043
2/4/2023 5:50:00 PM,60.628603
2/4/2023 5:55:00 PM,60.440296
2/4/2023 6:00:00 PM,56.601273
2/4/2023 6:05:00 PM,53.987020
2/4/2023 6:10:00 PM,56.601273
2/4/2023 6:15:00 PM,56.604440
2/4/2023 6:20:00 PM,54.367960
2/4/2023 6:25:00 PM,55.485263
2/4/2023 6:30:00 PM,51.138790
2/4/2023 6:35:00 PM,51.472360
2/4/2023 6:40:00 PM,51.159020
2/4/2023 6:45:00 PM,52.210953
2/4/2023 6:50:00 PM,55.437950
2/4/2023 6:55:00 PM,51.465916
2/4/2023 7:00:00 PM,60.301543
2/4/2023 7:05:00 PM,60.261153
2/4/2023 7:10:00 PM,59.283516
2/4/2023 7:15:00 PM,57.115550
2/4/2023 7:20:00 PM,54.456686
2/4/2023 7:25:00 PM,49.159810
2/4/2023 7:30:00 PM,48.302613
2/4/2023 7:35:00 PM,49.168316
2/4/2023 7:40:00 PM,54.135886
2/4/2023 7:45:00 PM,58.241206
2/4/2023 7:50:00 PM,57.723110
2/4/2023 7:55:00 PM,57.020300
2/4/2023 8:00:00 PM,59.743616
2/4/2023 8:05:00 PM,59.743616
2/4/2023 8:10:00 PM,58.133493
2/4/2023 8:15:00 PM,59.568800
2/4/2023 8:20:00 PM,59.980000
2/4/2023 8:25:00 PM,59.720000
2/4/2023 8:30:00 PM,55.186163
2/4/2023 8:35:00 PM,55.131686
2/4/2023 8:40:00 PM,56.400846
2/4/2023 8:45:00 PM,55.162696
2/4/2023 8:50:00 PM,55.015216
2/4/2023 8:55:00 PM,59.636236
2/4/2023 9:00:00 PM,64.609446
2/4/2023 9:05:00 PM,65.191073
2/4/2023 9:10:00 PM,65.719726
2/4/2023 9:15:00 PM,59.453210
2/4/2023 9:20:00 PM,59.265483
2/4/2023 9:25:00 PM,55.440243
2/4/2023 9:30:00 PM,53.410223
2/4/2023 9:35:00 PM,53.215000
2/4/2023 9:40:00 PM,52.982480
2/4/2023 9:45:00 PM,51.946926
2/4/2023 9:50:00 PM,52.605720
2/4/2023 9:55:00 PM,55.392990
2/4/2023 10:00:00 PM,59.774190
2/4/2023 10:05:00 PM,62.727576
2/4/2023 10:10:00 PM,62.174046
2/4/2023 10:15:00 PM,54.062823
2/4/2023 10:20:00 PM,60.986696
2/4/2023 10:25:00 PM,59.301730
2/4/2023 10:30:00 PM,53.511573
2/4/2023 10:35:00 PM,57.476146
2/4/2023 10:40:00 PM,58.939433
2/4/2023 10:45:00 PM,56.641960
2/4/2023 10:50:00 PM,51.097243
2/4/2023 10:55:00 PM,49.110320
2/4/2023 11:00:00 PM,59.095630
2/4/2023 11:05:00 PM,59.095630
2/4/2023 11:10:00 PM,52.155416
2/4/2023 11:15:00 PM,52.626340
2/4/2023 11:20:00 PM,52.096400
2/4/2023 11:25:00 PM,50.598800
2/4/2023 11:30:00 PM,50.000000
2/4/2023 11:35:00 PM,48.975330
2/4/2023 11:40:00 PM,45.800000
2/4/2023 11:45:00 PM,44.997600
2/4/2023 11:50:00 PM,44.980410
2/4/2023 11:55:00 PM,50.583810
